Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2018-04-26 01-AM,8819.99,8806.79,8806.79,8798,8800.42,8800.42
2018-04-26 12-AM,8865.01,8865.98,8865.98,8855.7,8864.99,8864.99
2018-04-25 11-PM,8941.31,8957.01,8957.01,8950.3,8963.6,8963.6
2018-04-25 10-PM,9176.3,9177,9177,9163,9172.99,9172.99
2018-04-25 09-PM,9080.02,9080,9080,9073.3,9065.42,9065.42
2018-04-25 08-PM,8973.3,8969.79,8969.79,8971.6,8969.5,8969.5
2018-04-25 07-PM,8997.22,8985,8985,8981.5,8992.23,8992.23
2018-04-25 06-PM,9055.23,9044.98,9044.98,9047.1,9047.64,9047.64
2018-04-25 05-PM,8930.01,8909,8909,8923.1,8914.08,8914.08
2018-04-25 04-PM,8965.24,8934.61,8934.61,8975.5,8961.29,8961.29
2018-04-25 03-PM,8908.92,8753,8753,8928.9,8905.67,8905.67
2018-04-25 02-PM,9038.25,9019.22,9019.22,9065.9,9050.22,9050.22
2018-04-25 01-PM,9144.96,9145,9145,9145.3,9140,9140
2018-04-25 12-PM,9142.99,9127,9127,9150.8,9149.85,9149.85
2018-04-25 11-AM,9173.04,9148.35,9148.35,9159.8,9164.73,9164.73
2018-04-25 10-AM,9319,9301.99,9301.99,9312.5,9300.21,9300.21
2018-04-25 09-AM,9303.01,9300.01,9300.01,9299.1,9311,9311
2018-04-25 08-AM,9412.08,9402,9402,9407,9412.98,9412.98
2018-04-25 07-AM,9427.54,9412.49,9412.49,9426,9430.3,9430.3
2018-04-25 06-AM,9395.71,9369.41,9369.41,9390,9399.85,9399.85
2018-04-25 05-AM,9307.45,9298.99,9298.99,9312.9,9302.17,9302.17
2018-04-25 04-AM,9393.57,9390,9390,9390,9374.97,9374.97
2018-04-25 03-AM,9688.65,9695.32,9695.32,9695,9675.68,9675.68
2018-04-25 02-AM,9641,9629.44,9629.44,9630,9649.55,9649.55
2018-04-25 01-AM,9558.57,9553,9553,9562.8,9567.81,9567.81
2018-04-25 12-AM,9649.99,9648,9648,9661.7,9648,9648
2018-04-24 11-PM,9578.99,9570,9570,9574,9573.83,9573.83
2018-04-24 10-PM,9480,9471.44,9471.44,9463,9471.06,9471.06
2018-04-24 09-PM,9461.45,9455.01,9455.01,9448,9452.39,9452.39
2018-04-24 08-PM,9449.82,9444.99,9444.99,9458,9462.51,9462.51
2018-04-24 07-PM,9395,9397.64,9397.64,9397.2,9399,9399
2018-04-24 06-PM,9399.99,9402.3,9402.3,9427.3,9410,9410
2018-04-24 05-PM,9349.38,9350,9350,9357.2,9344.36,9344.36
2018-04-24 04-PM,9357.42,9355,9355,9359.9,9364.2,9364.2
2018-04-24 03-PM,9293.53,9290,9290,9305,9296.98,9296.98
2018-04-24 02-PM,9259.67,9268.99,9268.99,9271,9269,9269
2018-04-24 01-PM,9365.44,9371.43,9371.43,9386,9373.47,9373.47
