date,Bitfinex,Bitstamp,Coinbase,Kraken,HitBTC
2016-01-02,429.0,430.85,432.51,427.63,
2016-01-03,432.77,433.97,433.42,431.08,
2016-01-04,431.12,431.89,432.67,431.32,
2016-01-05,431.02,431.84,432.44,429.99,
2016-01-06,459.0,457.79,458.49,457.88,
2016-01-07,453.9,451.32,454.06,455.22,
2016-01-08,450.01,449.95,451.07,451.38,
2016-01-09,447.85,447.21,449.14,447.38,
2016-01-10,449.1,448.99,449.33,450.0,
2016-01-11,446.13,446.27,446.57,449.81,
2016-01-12,431.27,432.53,432.68,433.98,
2016-01-13,429.0,429.22,429.69,430.0,
2016-01-14,375.0,372.85,373.43,374.41,
2016-01-15,387.23,386.43,386.57,388.16,
2016-01-16,384.3,382.85,381.01,385.0,
2016-01-17,386.06,385.0,383.14,390.1,
2016-01-18,379.9,379.88,375.96,381.08,
2016-01-19,415.95,410.93,413.88,419.46,
2016-01-20,410.9,410.03,408.97,412.31,
2016-01-21,381.49,381.78,383.01,382.82,
2016-01-22,387.68,386.92,389.52,389.11,
2016-01-23,403.76,402.5,403.45,400.68,
2016-01-24,392.55,392.58,392.91,394.01,
2016-01-25,389.41,390.66,389.21,395.95,
2016-01-26,395.12,395.0,394.93,396.0,
2016-01-27,379.0,379.16,379.96,379.27,
2016-01-28,378.8,379.44,379.39,379.92,
2016-01-29,376.99,376.6,379.23,378.0,
2016-01-30,367.01,370.0,369.82,369.84,
2016-01-31,370.72,371.5,370.62,372.0,
2016-02-01,373.0,373.18,372.85,373.71,
2016-02-02,367.5,367.64,367.0,368.0,
2016-02-03,392.57,390.0,390.08,392.0,
2016-02-04,386.81,385.88,384.46,387.22,
2016-02-05,373.5,374.27,374.92,375.69,
2016-02-06,372.32,375.4,377.77,372.82,
2016-02-07,370.0,371.16,370.68,372.0,
2016-02-08,373.97,373.16,372.9,378.48,
2016-02-09,380.88,379.86,378.56,379.3,
2016-02-10,377.47,377.99,376.89,377.21,
2016-02-11,382.27,382.88,381.97,380.3,
2016-02-12,389.0,389.51,388.37,389.15,
2016-02-13,406.5,403.95,404.53,403.25,
2016-02-14,400.69,399.0,399.11,396.0,
2016-02-15,407.31,406.47,406.89,405.5,
2016-02-16,416.09,415.52,416.26,416.16,
2016-02-17,421.51,420.31,421.32,422.0,
2016-02-18,419.06,419.27,419.06,417.05,
2016-02-19,443.01,440.24,441.89,440.3,
2016-02-20,440.53,437.7,438.15,437.04,
2016-02-21,440.02,437.97,436.9,433.35,
2016-02-22,421.6,420.05,420.03,420.99,
2016-02-23,424.61,422.61,422.79,423.2,
2016-02-24,425.36,423.51,423.75,421.85,
2016-02-25,431.47,427.8,427.5,427.2,
2016-02-26,434.0,431.06,432.51,433.04,
2016-02-27,434.4,432.16,433.69,430.14,
2016-02-28,440.0,436.62,436.45,435.92,
2016-02-29,434.0,433.31,432.4,429.88,
2016-03-01,424.53,425.18,423.69,424.39,
2016-03-02,420.97,420.27,418.82,419.62,
2016-03-03,409.62,409.97,408.93,406.71,
2016-03-04,397.42,398.5,396.79,394.52,
2016-03-05,403.93,404.78,403.48,403.86,
2016-03-06,414.51,414.76,415.43,413.75,
2016-03-07,411.53,412.13,411.23,410.29,
2016-03-08,412.83,412.66,412.83,410.55,
2016-03-09,417.16,416.5,416.24,415.81,
2016-03-10,420.0,418.1,418.81,419.92,
2016-03-11,410.99,410.47,410.33,407.22,
2016-03-12,412.26,412.64,413.15,408.87,
2016-03-13,415.22,413.85,414.01,415.42,
2016-03-14,415.41,415.89,414.65,415.59,
2016-03-15,417.4,416.49,415.93,416.78,
2016-03-16,418.58,418.49,418.5,420.75,
2016-03-17,408.71,408.21,409.96,409.43,
2016-03-18,409.64,408.94,410.55,410.09,
2016-03-19,411.92,411.34,413.58,412.14,
2016-03-20,411.44,410.99,411.38,411.76,
2016-03-21,416.7,415.89,416.42,414.82,
2016-03-22,417.32,417.22,417.3,415.53,
