date,Bitfinex,Coinbase,Kraken,Gemini,Bitstamp
2018-01-02,942.01,938.31,938.0,940.0,940.4
2018-01-03,940.0,949.0,942.04,947.88,940.0
2018-01-04,962.77,969.27,958.0,968.33,966.0
2018-01-05,1004.3,1006.68,998.7,1004.9,1004.27
2018-01-06,1115.8,1118.3,1098.0,1115.11,1117.96
2018-01-07,1129.0,1137.01,1137.5,1135.25,1130.0
2018-01-08,1283.8,1290.01,1284.99,1292.25,1287.47
2018-01-09,1246.9,1246.95,1245.02,1251.81,1240.48
2018-01-10,1135.1,1137.01,1193.0,1139.0,1135.0
2018-01-11,1257.0,1260.0,1193.0,1259.74,1258.68
2018-01-12,1379.9,1386.02,1193.0,1381.85,1384.78
2018-01-13,1349.7,1365.46,1358.82,1360.53,1359.59
2018-01-14,1276.9,1278.63,1272.88,1274.09,1276.71
2018-01-15,1019.6,1080.0,1063.0,1069.51,1057.88
2018-01-16,1021.6,1028.06,1019.97,1026.6,1029.22
2018-01-17,994.0,1025.78,1023.43,1024.11,1024.69
2018-01-18,1032.6,1037.45,1048.0,1039.82,1036.03
2018-01-19,1146.3,1150.02,1157.78,1149.68,1150.0
2018-01-20,1047.7,1047.13,1049.1,1049.92,1049.09
2018-01-21,997.52,999.68,1000.5,998.0,997.21
2018-01-22,981.8,984.03,985.96,986.19,983.7
2018-01-23,1061.6,1056.99,1063.77,1060.0,1065.0
2018-01-24,1048.2,1040.0,1048.0,1044.0,1050.0
2018-01-25,1046.9,1045.57,1051.07,1048.0,1051.81
2018-01-26,1113.9,1100.0,1105.5,1106.0,1115.51
2018-01-27,1245.5,1215.01,1221.94,1223.6,1229.41
2018-01-28,1174.3,1162.27,1166.0,1165.0,1168.0
2018-01-29,1076.9,1054.39,1055.14,1052.95,1051.54
2018-01-30,1120.0,1105.0,1105.3,1101.69,1110.14
2018-01-31,1035.0,1017.48,1020.09,1021.9,1022.08
2018-02-01,923.13,911.99,910.0,914.12,918.39
2018-02-02,972.1,969.4,965.53,970.0,969.93
2018-02-03,825.3,826.0,823.56,823.53,826.51
2018-02-04,698.62,693.54,687.15,692.32,692.36
2018-02-05,782.99,783.83,783.2,785.01,784.01
2018-02-06,752.8,750.04,748.54,750.91,752.89
2018-02-07,813.11,812.0,813.0,812.64,812.01
2018-02-08,878.01,875.99,878.6,879.49,875.1
2018-02-09,851.09,849.47,850.0,852.0,851.83
2018-02-10,810.46,811.35,809.09,812.56,809.69
2018-02-11,866.4,864.4,864.53,866.27,865.57
2018-02-12,839.83,840.49,839.52,840.58,841.82
2018-02-13,919.13,920.27,920.56,920.81,922.98
2018-02-14,925.02,929.3,929.03,927.97,927.91
2018-02-15,937.38,936.02,940.98,937.7,940.0
2018-02-16,973.28,975.0,975.75,976.98,977.74
2018-02-17,913.13,912.41,916.0,915.81,912.85
2018-02-18,939.19,939.01,940.64,939.6,938.05
2018-02-19,883.91,884.76,882.61,885.22,884.24
2018-02-20,837.79,840.34,840.35,840.01,837.98
2018-02-21,802.85,806.0,804.36,803.9,803.57
2018-02-22,852.56,854.01,854.35,856.58,851.98
2018-02-23,831.51,833.2,832.98,833.09,835.74
2018-02-24,838.47,841.96,840.0,840.87,842.65
2018-02-25,867.77,867.09,865.37,866.45,868.4
2018-02-26,871.33,870.98,870.91,870.5,870.32
2018-02-27,851.26,849.99,850.1,849.81,850.16
2018-02-28,869.24,868.74,869.75,868.75,869.01
2018-03-01,854.5,854.31,855.19,855.3,856.08
2018-03-02,855.29,854.34,853.4,854.6,853.76
2018-03-03,866.06,861.74,864.9,862.9,862.28
2018-03-04,848.13,848.83,849.91,848.03,848.0
2018-03-05,814.45,815.43,815.81,813.12,813.09
2018-03-06,749.2,751.38,750.0,749.89,750.42
2018-03-07,697.3,698.83,698.8,696.99,698.06
2018-03-08,724.61,728.46,724.4,727.0,726.13
2018-03-09,679.68,683.6,680.7,682.57,682.87
2018-03-10,719.86,719.79,719.11,720.2,720.38
2018-03-11,696.52,696.51,694.72,697.28,695.5
2018-03-12,688.49,690.39,685.64,690.34,690.01
2018-03-13,660.75,663.88,662.1,663.14,661.63
